Order_ID,Date,Region,Category,Product,Unit_Price,Quantity,Gross_Sales,Discount,Net_Revenue,Profit,Sales_Channel
ORD-1207,2023-01-02,Middle East,Electronics,Laptop Pro,609.02,6,3654.14,0.15,3106.02,1156.2,Direct
ORD-1203,2023-01-04,LATAM,Software,CRM Enterprise,277.18,2,554.36,0.15,471.21,153.22,Enterprise
ORD-1065,2023-01-07,Middle East,Software,CRM Enterprise,419.84,10,4198.37,0.0,4198.37,1872.48,Direct
ORD-1093,2023-01-08,North America,Furniture,Modern Sofa,99.55,8,796.42,0.0,796.42,330.14,Enterprise
ORD-1106,2023-01-10,Middle East,Furniture,Bookshelf,96.66,8,773.26,0.1,695.93,327.56,Enterprise
ORD-1091,2023-01-12,Europe,Office Supplies,Mechanical Keyboard,211.3,13,2746.88,0.0,2746.88,1572.08,Direct
ORD-1199,2023-01-14,Asia-Pacific,Office Supplies,Mechanical Keyboard,113.9,13,1480.69,0.0,1480.69,614.9,Enterprise
ORD-1114,2023-01-15,Middle East,Electronics,Smartwatch Elite,1088.59,4,4354.35,0.2,3483.48,758.87,Online Retail
ORD-1186,2023-01-15,Europe,Electronics,Noise-Cancelling Headphones,1061.53,8,8492.23,0.0,8492.23,2893.24,Enterprise
ORD-1151,2023-01-17,Europe,Electronics,Noise-Cancelling Headphones,344.39,14,4821.45,0.2,3857.16,831.62,Direct
ORD-1180,2023-01-17,LATAM,Office Supplies,Ergonomic Chair,199.96,6,1199.75,0.05,1139.76,643.4,Online Retail
ORD-1185,2023-01-21,Middle East,Furniture,Dining Set,308.84,5,1544.18,0.2,1235.34,428.05,Online Retail
ORD-1034,2023-01-22,Middle East,Furniture,Bookshelf,259.83,2,519.67,0.0,519.67,211.23,Enterprise
ORD-1097,2023-01-25,North America,Electronics,Smartwatch Elite,863.06,3,2589.17,0.05,2459.71,1051.53,Direct
ORD-1143,2023-01-27,North America,Furniture,Bookshelf,247.02,12,2964.2,0.05,2815.99,1190.77,Reseller
ORD-1018,2023-01-28,LATAM,Software,Security Firewall,447.48,10,4474.76,0.0,4474.76,2206.55,Online Retail
ORD-1141,2023-01-29,Middle East,Office Supplies,Standing Desk,26.99,2,53.98,0.0,53.98,19.19,Direct
ORD-1086,2023-01-30,Europe,Furniture,Modern Sofa,322.66,10,3226.59,0.15,2742.6,975.61,Direct
ORD-1182,2023-02-02,Asia-Pacific,Furniture,Bookshelf,189.44,14,2652.2,0.0,2652.2,839.98,Reseller
ORD-1054,2023-02-02,North America,Electronics,Noise-Cancelling Headphones,1138.54,3,3415.61,0.1,3074.05,1040.24,Reseller
ORD-1242,2023-02-05,Middle East,Electronics,Smartwatch Elite,571.25,1,571.25,0.0,571.25,281.91,Reseller
ORD-1246,2023-02-05,Middle East,Electronics,Smartphone X,942.58,7,6598.06,0.0,6598.06,3767.47,Reseller
ORD-1234,2023-02-05,LATAM,Software,CRM Enterprise,417.09,12,5005.04,0.0,5005.04,2052.34,Reseller
ORD-1063,2023-02-08,Middle East,Electronics,Laptop Pro,210.44,10,2104.37,0.0,2104.37,702.2,Online Retail
ORD-1068,2023-02-08,Asia-Pacific,Electronics,Smartphone X,642.09,10,6420.94,0.05,6099.89,2053.68,Online Retail
ORD-1140,2023-02-09,Europe,Electronics,Smartphone X,378.92,6,2273.55,0.1,2046.19,465.35,Reseller
ORD-1170,2023-02-09,North America,Electronics,Noise-Cancelling Headphones,445.46,12,5345.53,0.0,5345.53,2790.76,Reseller
ORD-1012,2023-02-10,LATAM,Furniture,Modern Sofa,190.79,1,190.79,0.0,190.79,96.67,Enterprise
ORD-1142,2023-02-10,Europe,Electronics,Smartphone X,672.34,12,8068.06,0.0,8068.06,4814.22,Direct
ORD-1010,2023-02-10,Middle East,Furniture,Modern Sofa,25.94,9,233.48,0.1,210.13,102.82,Direct
ORD-1055,2023-02-12,LATAM,Electronics,Smartphone X,255.82,2,511.63,0.0,511.63,212.08,Enterprise
ORD-1177,2023-02-15,Asia-Pacific,Electronics,Smartphone X,271.64,2,543.27,0.05,516.11,210.79,Direct
ORD-1036,2023-02-15,Middle East,Office Supplies,Standing Desk,25.87,8,206.99,0.0,206.99,89.87,Enterprise
ORD-1189,2023-02-15,North America,Office Supplies,Mechanical Keyboard,67.57,12,810.85,0.0,810.85,350.67,Reseller
ORD-1092,2023-02-16,North America,Office Supplies,Standing Desk,351.96,13,4575.48,0.0,4575.48,1553.42,Enterprise
ORD-1003,2023-02-18,Asia-Pacific,Furniture,Coffee Table,37.73,12,452.8,0.0,452.8,209.73,Online Retail
ORD-1007,2023-02-19,LATAM,Office Supplies,Mechanical Keyboard,99.02,4,396.07,0.0,396.07,122.44,Online Retail
ORD-1221,2023-02-22,Middle East,Electronics,Laptop Pro,840.74,2,1681.48,0.05,1597.4,764.34,Online Retail
ORD-1167,2023-03-02,Asia-Pacific,Office Supplies,Standing Desk,206.65,1,206.65,0.0,206.65,73.41,Online Retail
ORD-1103,2023-03-03,North America,Office Supplies,Standing Desk,237.21,3,711.64,0.1,640.47,312.04,Reseller
ORD-1060,2023-03-03,LATAM,Software,Cloud Storage Sub,183.94,3,551.81,0.0,551.81,329.29,Online Retail
ORD-1111,2023-03-03,LATAM,Electronics,Smartphone X,562.07,8,4496.54,0.0,4496.54,1735.06,Online Retail
ORD-1011,2023-03-04,Asia-Pacific,Furniture,Modern Sofa,297.02,1,297.02,0.05,282.17,80.82,Enterprise
